ciuName,description,id,mozBugUrl,mozPosition,mozPositionDetail,mozPositionIssue,org,title,url
,"Zstandard, or ""zstd"" (pronounced ""zee standard""), is a data compression mechanism. This document describes the mechanism and registers a media type and content encoding to be used when transporting zstd-compressed content via Multipurpose Internet Mail Extensions (MIME). Despite use of the word ""standard"" as part of its name, readers are advised that this document is not an Internet Standards Track specification; it is being published for informational purposes only.",zstd,https://bugzilla.mozilla.org/show_bug.cgi?id=1301878,defer,"While we believe zstd is a promising technology, its use in a general-purpose web browser (given the existing slate of compression algorithms) has not been demonstrated to provide compelling new utility, and does not clearly warrant the additional maintenance cost and attack surface of adding such code. We are deferring a final position pending a more comprehensive and quantitative analysis of the benefits zstd would unlock on the web today - either dictionary-less, with static dictionaries, or with dynamic dictionaries. For either of the latter two options, we'd also need a credible plan for generating and delivering those dictionaries that aligns with our values.",105,IETF,Zstandard Compression and the application/zstd Media Type,https://tools.ietf.org/html/rfc8478
dialog,"The dialog element represents a part of an application that a user interacts with to perform a task, for example a dialog box, inspector, or window.",dialog-element,https://bugzilla.mozilla.org/show_bug.cgi?id=840640,worth prototyping,"A high-level HTML feature for authors to achieve these use cases while getting a11y right seems useful, and we have an implementation.",388,WHATWG,dialog element,https://html.spec.whatwg.org/multipage/interactive-elements.html#the-dialog-element
mdn-html_global_attributes_enterkeyhint,The enterkeyhint attribute specifies what action label (or icon) to present for the enter key on virtual keyboards.,enterkeyhint-attr,https://bugzilla.mozilla.org/show_bug.cgi?id=1490661,worth prototyping,,68,WHATWG,enterkeyhint attribute,https://html.spec.whatwg.org/multipage/interaction.html#attr-enterkeyhint
mdn-api_htmlelement_inert,Allow arbitrary DOM subtrees to become inert,inert-attr,https://bugzilla.mozilla.org/show_bug.cgi?id=921504,worth prototyping,A high-level tool for authors to achieve some of these use cases while getting a11y right seems useful,174,WHATWG,inert attribute,https://github.com/whatwg/html/pull/4288
,"Proposal to add various output attributes on HTML's &lt;input> elements that would allow developers to declare some conversions the browser could do to, for example, images and videos.",input-file-output-attributes,,non-harmful,"While this seems like it could be a useful capability to expose, we'd rather see it exposed in a way that can be composed with other existing APIs, and we're concerned that there's a risk of runaway complexity through adding more and more features to it.",237,Proposal,output attributes on &lt;input type=file> element,https://discourse.wicg.io/t/proposal-native-media-optimization-and-basic-editing-support/4068
mdn-css_at-rules_page_page-orientation,A descriptor for CSS @page rules that changes the orientation of the page in generated PDF output (or similar) without otherwise affecting layout.,page-orientation-descriptor,,worth prototyping,"This is a simple addition (to a relatively complex existing feature, <a href=""https://drafts.csswg.org/css-page-3/#using-named-pages"">named pages</a>) that can improve the experience of producing printed PDF output from web-based word processors or similar systems that largely do their own page layout.",346,W3C,page-orientation descriptor,https://drafts.csswg.org/css-page-3/#page-orientation-prop
,An attribute that specifies the rules for generating acceptable passwords.,passwordrules-attribute,,harmful,"We believe this proposal, as drafted, encourages bad practices around passwords without encouraging good practices (such as minimum password length), and further has ambiguous and conflicting overlap with existing input validity attributes.  We believe the existing input validity attributes and API are sufficient for expressing password requirements.",61,WHATWG,passwordrules attribute,https://github.com/whatwg/html/issues/3518
,The new scroll events introduced in this document provide web developers a way to listen to the state of the scrolling and when their content is being overscrolled or when the scrolling has finished. This information will be useful for the effects such as pull to refresh or history swipe navigations in the web apps.,scrollend-and-overscroll-events,,worth prototyping,We believe these are likely to provide frequently-requested functionality that is useful for many web applications.,240,Proposal,scrollend and overscroll events,https://github.com/w3c/csswg-drafts/pull/4537
,The template element is used to declare fragments of HTML that can be cloned and inserted in the document by script.,template-element,,worth prototyping,"A reasonable addition to HTML (and XML), if not somewhat taxing on the parser.",60,WHATWG,template element,https://html.spec.whatwg.org/multipage/scripting.html#the-template-element
,An event that fires when the user's timezone changes.,timezonechange-event,,defer,"The timing of the delivery of this event to sites might expose users to cross-site tracking. How that risk is mitigated has not yet been decided, and that decision is likely to influence our position.",241,WHATWG,timezonechange event,https://github.com/whatwg/html/pull/3047
